Date : 2022-09-05 12:37:53
Directory : c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud
Total : 98 files,  25593 codes, 578 comments, 574 blanks, all 26745 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     18,283 |          0 |          4 |     18,287 |
| Vue                |         45 |      5,649 |        402 |        336 |      6,387 |
| Markdown           |         21 |        868 |          0 |        135 |      1,003 |
| JavaScript         |         19 |        623 |        163 |         54 |        840 |
| CSS                |          2 |        143 |          0 |         44 |        187 |
| HTML               |          1 |         19 |          1 |          1 |         21 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         98 |     25,593 |        578 |        574 |     26,745 |
| .VSCodeCounter                                                                                                 |         25 |        858 |          0 |        130 |        988 |
| .VSCodeCounter\2022-09-01_15-03-26                                                                             |          5 |        154 |          0 |         26 |        180 |
| .VSCodeCounter\2022-09-01_16-14-52                                                                             |          5 |        159 |          0 |         26 |        185 |
| .VSCodeCounter\2022-09-01_23-09-58                                                                             |          5 |        170 |          0 |         26 |        196 |
| .VSCodeCounter\2022-09-01_23-37-52                                                                             |          5 |        165 |          0 |         26 |        191 |
| .VSCodeCounter\2022-09-05_12-37-16                                                                             |          5 |        210 |          0 |         26 |        236 |
| app                                                                                                            |         71 |     24,298 |        578 |        442 |     25,318 |
| app\public                                                                                                     |          3 |         35 |          4 |          1 |         40 |
| app\public\css                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| app\public\js                                                                                                  |          1 |         15 |          3 |          0 |         18 |
| app\src                                                                                                        |         62 |      6,370 |        561 |        433 |      7,364 |
| app\src\assets                                                                                                 |          1 |        142 |          0 |         44 |        186 |
| app\src\assets\css                                                                                             |          1 |        142 |          0 |         44 |        186 |
| app\src\components                                                                                             |         30 |      3,720 |        173 |        228 |      4,121 |
| app\src\components\Item                                                                                        |          3 |        652 |         21 |         11 |        684 |
| app\src\components\Login                                                                                       |          1 |        105 |          0 |          3 |        108 |
| app\src\components\NavBar                                                                                      |          1 |         81 |          2 |          5 |         88 |
| app\src\components\PClistCard                                                                                  |          1 |        121 |          7 |          8 |        136 |
| app\src\components\PClistTable                                                                                 |          1 |        184 |          9 |         18 |        211 |
| app\src\components\RecommendMusic                                                                              |          2 |        122 |          1 |         16 |        139 |
| app\src\components\comment                                                                                     |          1 |        522 |         49 |         53 |        624 |
| app\src\components\cookie                                                                                      |          1 |         22 |          3 |          4 |         29 |
| app\src\components\goTop                                                                                       |          1 |        109 |          5 |         12 |        126 |
| app\src\components\home                                                                                        |          4 |        273 |          7 |         16 |        296 |
| app\src\components\infoUser                                                                                    |          6 |        518 |         28 |         26 |        572 |
| app\src\components\infoUser\FollowsAndFolloweds                                                                |          3 |        264 |         24 |         20 |        308 |
| app\src\components\listCard                                                                                    |          1 |        122 |          7 |          8 |        137 |
| app\src\components\listTable                                                                                   |          1 |        208 |          4 |         16 |        228 |
| app\src\components\secondNavBar                                                                                |          1 |         87 |          1 |          5 |         93 |
| app\src\components\videoListCard                                                                               |          1 |        209 |         16 |         12 |        237 |
| app\src\plugins                                                                                                |          3 |        119 |         13 |         10 |        142 |
