Date : 2022-09-05 10:49:55
Directory : c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud
Total : 96 files,  25381 codes, 581 comments, 528 blanks, all 26490 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     18,283 |          0 |          4 |     18,287 |
| Vue                |         45 |      5,639 |        406 |        333 |      6,378 |
| Markdown           |         21 |        810 |          0 |        135 |        945 |
| JavaScript         |         19 |        622 |        162 |         55 |        839 |
| HTML               |          1 |         19 |          1 |          1 |         21 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         96 |     25,381 |        581 |        528 |     26,490 |
| .VSCodeCounter                                                                                                 |         25 |        800 |          0 |        130 |        930 |
| .VSCodeCounter\2022-09-01_11-06-48                                                                             |          5 |        152 |          0 |         26 |        178 |
| .VSCodeCounter\2022-09-01_15-03-26                                                                             |          5 |        154 |          0 |         26 |        180 |
| .VSCodeCounter\2022-09-01_16-14-52                                                                             |          5 |        159 |          0 |         26 |        185 |
| .VSCodeCounter\2022-09-01_23-09-58                                                                             |          5 |        170 |          0 |         26 |        196 |
| .VSCodeCounter\2022-09-01_23-37-52                                                                             |          5 |        165 |          0 |         26 |        191 |
| app                                                                                                            |         69 |     24,144 |        581 |        396 |     25,121 |
| app\public                                                                                                     |          2 |         34 |          4 |          1 |         39 |
| app\public\js                                                                                                  |          1 |         15 |          3 |          0 |         18 |
| app\src                                                                                                        |         61 |      6,217 |        564 |        387 |      7,168 |
| app\src\components                                                                                             |         30 |      3,712 |        173 |        227 |      4,112 |
| app\src\components\Item                                                                                        |          3 |        652 |         21 |         11 |        684 |
| app\src\components\Login                                                                                       |          1 |        105 |          0 |          3 |        108 |
| app\src\components\NavBar                                                                                      |          1 |         81 |          2 |          5 |         88 |
| app\src\components\PClistCard                                                                                  |          1 |        121 |          7 |          8 |        136 |
| app\src\components\PClistTable                                                                                 |          1 |        184 |          9 |         18 |        211 |
| app\src\components\RecommendMusic                                                                              |          2 |        122 |          1 |         16 |        139 |
| app\src\components\comment                                                                                     |          1 |        522 |         49 |         53 |        624 |
| app\src\components\cookie                                                                                      |          1 |         22 |          3 |          4 |         29 |
| app\src\components\goTop                                                                                       |          1 |        108 |          5 |         11 |        124 |
| app\src\components\home                                                                                        |          4 |        273 |          7 |         16 |        296 |
| app\src\components\infoUser                                                                                    |          6 |        518 |         28 |         26 |        572 |
| app\src\components\infoUser\FollowsAndFolloweds                                                                |          3 |        264 |         24 |         20 |        308 |
| app\src\components\listCard                                                                                    |          1 |        122 |          7 |          8 |        137 |
| app\src\components\listTable                                                                                   |          1 |        201 |          4 |         16 |        221 |
| app\src\components\secondNavBar                                                                                |          1 |         87 |          1 |          5 |         93 |
| app\src\components\videoListCard                                                                               |          1 |        209 |         16 |         12 |        237 |
| app\src\plugins                                                                                                |          3 |        119 |         13 |         10 |        142 |
| app\src\request                                                                                                |          9 |        118 |         70 |         30 |        218 |
| app\src\request\api                                                                                            |          8 |        107 |         58 |         27 |        192 |
| app\src\router                                                                                                 |          1 |         94 |         33 |          4 |        131 |
| app\src\store                                                                                                  |          1 |        204 |         34 |          3 |        241 |
